timestamp,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz,target
491374,0.1329,0.0,0.0,0.0,0.3038,-1.1857355174815734,-0.9775451283055422,1.1903300922845004,-0.05781919233033284,0.45728664818001796,1.6396071791518274,HELLO
491394,0.1221,0.0,0.0,0.0,0.2361,-1.0122785631542874,-0.7820726210050397,1.1927067681916133,-0.03430048231074107,0.2795698557039291,1.6976386766332117,HELLO
491414,0.1201,0.0,0.0,0.0,0.3026,-1.0029572782254847,-0.7078101400655482,1.168543896469296,0.08362431722411356,0.3670178012080365,1.6976386766332117,HELLO
491434,0.1217,0.0,0.0,0.0,0.2535,-0.8675960101289578,-0.7778046623303567,1.1523032777706892,0.14159296868085375,0.6650930563134339,1.6976386766332117,HELLO
491454,0.1194,0.0,0.0,0.0,0.2589,-0.7245345501347243,-0.8119483317278244,1.0940747180464165,0.17670540899179377,0.9542354567705621,1.6976386766332117,HELLO
491474,0.117,0.0,0.0,0.0,0.2565,-0.6244320554645383,-0.7504897268123828,1.063177931253945,0.2253990762154554,1.1098551877483007,1.6976386766332117,HELLO
491494,0.1178,0.0,0.0,0.0,0.2577,-0.4736704035725981,-0.45941494519897097,0.949889713014883,0.2581927704681257,1.2179897440168201,1.6976386766332117,HELLO
491514,0.1228,0.0,0.0,0.0,0.2906,-0.29778180969866797,-0.10688155867011757,0.8631410424052521,0.29198021303148286,1.6002218929138046,1.6976386766332117,HELLO
491534,0.1236,0.0,0.0,0.0,0.2541,0.06777466881350926,-0.3621054874161885,0.7862951880752593,0.19028663590451575,1.9707002856946452,1.6976386766332117,HELLO
491554,0.1194,0.0,0.0,0.0,0.2146,0.6298886773460927,0.024571568510132577,0.7193521500249045,0.06275560269968715,1.9128718056032197,1.6976386766332117,HELLO
491574,0.1217,0.0,0.0,0.0,0.1655,1.169712656701104,0.6622045945078406,0.5268414015487368,0.11376801598161852,1.823073108875884,1.6976386766332117,HELLO
491594,0.1244,0.0,0.0,0.0,0.2331,1.4067975124989132,0.5486768937612609,0.4943601641515229,0.15517419559357573,1.6218488041675083,1.6976386766332117,HELLO
491614,0.1213,0.0,0.0,0.0,0.1559,1.4067975124989132,0.6852515713511316,0.30581054218721043,0.12602424514675803,1.4535350165843346,1.6976386766332117,HELLO
491634,0.1225,0.0,0.0,0.0,0.1948,1.4067975124989132,0.7219560159534091,0.40642315558833514,0.018036928718772972,1.1761463722433496,1.6976386766332117,HELLO
491654,0.1248,0.0,0.0,0.0,0.2272,1.4067975124989132,0.7108593233992324,0.45989836349838203,0.026649414078060256,0.562600302980663,1.3933030392734511,HELLO
491674,0.1225,0.0,0.0,0.0,0.226,1.4067975124989132,0.642571984604297,0.45989836349838203,-0.0041567835532359395,0.11877847203508704,1.0843512600685807,HELLO
491694,0.1194,0.0,0.0,0.0,0.2301,1.4067975124989132,0.5341658342673379,0.5430820202473435,-0.11976283702982105,0.01722601919160806,0.610866996527285,HELLO
491714,0.1209,0.0,0.0,0.0,0.1493,1.4067975124989132,0.4411243351592383,0.6444868589508391,-0.1101566033598469,0.013464817234442058,0.11726954351800971,HELLO
491734,0.1112,0.0,0.0,0.0,0.2367,1.4067975124989132,0.15943906263013005,0.6654808294636722,-0.06875042374788949,-0.00016953986028437967,-0.31269109691224795,HELLO
491754,0.1135,0.0,0.0,0.0,0.2116,1.4067975124989132,0.005792550341525548,0.6262656769963045,-0.11081910223363832,0.0868082553991773,-0.62757791563226,HELLO
491774,0.1097,0.0,0.0,0.0,0.1876,1.4067975124989132,0.03481466932937364,0.585466073924195,-0.18866271990411804,0.22409212683573254,-0.9523564668775082,HELLO
491794,0.1139,0.0,0.0,0.0,0.2212,1.4067975124989132,-0.010425692622271691,0.5826932853658966,-0.21715017147714472,0.08492765442059405,-1.321977538903826,HELLO
491814,0.1163,0.0,0.0,0.0,0.2254,1.4067975124989132,0.051032912293169926,0.5149580220131709,-0.24066888149673646,-0.2761477334673319,-1.5996054984454493,HELLO
491834,0.1135,0.0,0.0,0.0,0.2451,1.4067975124989132,0.03481466932937364,0.5371403304795603,-0.2943312902738332,-0.6301708676855717,-1.5996054984454493,HELLO
491854,0.1143,0.0,0.0,0.0,0.2236,1.4067975124989132,0.0723727056665877,0.5914077636919782,-0.32811873283719056,-0.9846641521484576,-1.5996054984454493,HELLO
491874,0.1147,0.0,0.0,0.0,0.1781,1.4067975124989132,0.06042242137747439,0.6207200998797073,-0.3456749529926604,-1.1788362031871469,-1.5996054984454493,HELLO
491894,0.1135,0.0,0.0,0.0,0.1912,1.388965489156856,0.08773735689544833,0.7058843198845962,-0.35461868778884326,-1.2742767028502318,-1.5996054984454493,HELLO
491914,0.1101,0.0,0.0,0.0,0.205,0.9293856148411026,-0.06164119671847319,0.8591799158933968,-0.36819991470156527,-1.4562248475281319,-1.5996054984454493,HELLO
491934,0.1093,0.0,0.0,0.0,0.211,0.4138780309525332,-0.09493127438100427,0.8995834063143209,-0.33143122720614715,-1.687068617649189,-1.5996054984454493,HELLO
491954,0.1089,0.0,0.0,0.0,0.2152,-0.10608755877155049,-0.0770058479473329,0.9047328707797326,-0.25027511516671064,-1.714807482083287,-1.5996054984454493,HELLO
491974,0.1128,0.0,0.0,0.0,0.193,-0.4501645546217045,-0.17175453052530557,0.9209734894783393,-0.1568627739621348,-1.6264192360898886,-1.5996054984454493,HELLO
491994,0.1089,0.0,0.0,0.0,0.2152,-0.8112630272983674,-0.35954471221137774,0.9566236280850371,-0.09392538095195956,-1.4703293548675038,-1.5996054984454493,HELLO
492014,0.1182,0.0,0.0,0.0,0.1942,-1.157771662695165,-0.5319702426685893,0.9110706731987013,-0.005150531863923174,-1.3231723282933883,-1.5996054984454493,HELLO
492034,0.1101,0.0,0.0,0.0,0.2385,-1.406204169710647,-0.6489123103549164,0.9051289834309181,0.039568142116991,-1.0951494596402058,-1.4192462420686465,HELLO
492054,0.1081,0.0,0.0,0.0,0.2301,-1.590198228740058,-0.798290863968837,0.8524460008232426,0.07335558468034817,-0.803186157715203,-1.1093052896112523,HELLO
492074,0.1081,0.0,0.0,0.0,0.2451,-1.6667948744593502,-0.9971777382090858,0.825906453193812,0.044205634233530085,-0.5281482645974468,-0.7914509511336694,HELLO
492094,0.1155,0.0,0.0,0.0,0.2092,-1.6878690838636,-1.0313214076065536,0.8088736091928342,-0.004819282427027552,-0.28743133933882964,-0.5092068497469361,HELLO
492114,0.1104,0.0,0.0,0.0,0.2116,-1.6173515370109182,-1.101315929871362,0.80213969412268,-0.04622546203898477,-0.03919201016588043,-0.23388696112786783,HELLO
492134,0.1163,0.0,0.0,0.0,0.2667,-1.4536211408702089,-1.2156972223528792,0.8136269610070606,-0.04953795640794136,0.15356959013887192,-0.013631050232613368,HELLO
492154,0.1151,0.0,0.0,0.0,0.2409,-1.3587871985510855,-1.3505647164728758,0.8603682538469533,-0.07935040572855069,0.24901008980195646,0.1944250572148503,HELLO
492174,0.1194,0.0,0.0,0.0,0.2254,-1.3142071401959419,-1.3804404271956605,0.8833427876157142,-0.08398789784508977,0.34774164117756134,0.3704978961640508,HELLO
492194,0.1174,0.0,0.0,0.0,0.2439,-1.192219889605958,-1.464092417219456,0.9487013750613266,-0.040594221611758456,0.3891148627063858,0.5386573490930623,HELLO
492214,0.1174,0.0,0.0,0.0,0.1697,-1.169929860428386,-1.4666531924242663,0.969299232922974,-0.03065673850488886,0.37877155732417966,0.7503404251331125,HELLO
492234,0.1139,0.0,0.0,0.0,0.1972,-1.0017414584521627,-1.3992194453642675,0.9871243022263232,-0.05020045528173261,0.4008686188225295,1.0533571648228413,HELLO
492254,0.1116,0.0,0.0,0.0,0.2385,-0.6969759686060902,-1.3906835280149006,0.9506819383172544,-0.0657691788158287,0.4770329584551389,1.248883744405006,HELLO
492274,0.119,0.0,0.0,0.0,0.2655,-0.08015007027401255,-1.464092417219456,0.8987911810119499,-0.16978150200106554,0.7577126545086438,1.3118611081490084,HELLO
492294,0.1221,0.0,0.0,0.0,0.1421,0.7753817768869701,-1.7261450798450202,0.9126551238034433,-0.29068754646798095,0.9833847719385977,1.246245949064943,HELLO
492314,0.1225,0.0,0.0,0.0,0.1799,1.4067975124989132,-1.469213967629076,0.8068930459369068,-0.4255060672845142,1.1216089438644443,1.0038985021966613,HELLO
492334,0.1321,0.0,0.0,0.0,0.2086,1.4067975124989132,-0.9929097795344028,0.9027523075238052,-0.4957309479063939,1.052026707656875,0.48919868646688236,HELLO
492354,0.1349,0.0,0.0,0.0,0.2499,1.4067975124989132,-1.1166805811002227,1.1812195013072329,-0.26948758250665894,0.4079208724922153,-0.6348318528174329,HELLO
492374,0.1325,0.0,0.0,0.0,0.2439,1.4067975124989132,-1.6518825989055281,1.3170861406638699,-0.25391885897256283,-0.44023016884869404,-1.432764943186469,HELLO
492394,0.1325,0.0,0.0,0.0,0.2254,1.4067975124989132,-1.3667829594366732,1.4513683294157649,-0.2761125712445721,-1.073522548386502,-1.5996054984454493,HELLO
492414,0.1372,0.0,0.0,0.0,0.2727,0.16990352977256545,-1.0731474026184515,1.4913757071855034,-0.17210024805933508,-1.2921424121467697,-1.5996054984454493,HELLO
492434,0.1422,0.0,0.0,0.0,0.2918,-0.968103778056918,-1.0398573249559204,1.5238569445827168,-0.022706752019393,-1.132291328967219,-1.5996054984454493,HELLO
492454,0.1434,0.0,0.0,0.0,0.2146,-1.6947587292457584,-0.8990146886913668,1.478303989696381,0.03791189493251253,-0.8271638201921357,-1.3879224224053992,HELLO
492474,0.1356,0.0,0.0,0.0,0.2481,-2.645935065241413,-0.38173809731973213,1.8094541660874846,0.4655549179648082,-0.8525519334030054,-0.07594896514159998,HELLO
492494,0.1279,0.0,0.0,0.0,0.3044,-2.645935065241413,-1.1422883331483233,1.1194259277222902,0.2257303256523514,-0.8755892953906466,0.6929683764867438,HELLO
492514,0.1333,0.0,0.0,0.0,0.2757,-2.2601149238405336,-0.7931693135592174,1.1705244597252238,0.22109283353581197,-0.18728933722928773,0.10375084240018685,HELLO
492534,0.1391,0.0,0.0,0.0,0.287,-1.8102616077113578,-0.8290201664265582,0.9657342190623043,0.30986768262384873,0.35009239240078976,0.5323925851604128,HELLO
492554,0.1364,0.0,0.0,0.0,0.3367,-1.7563602644274112,-0.8896251796070632,1.0085143853903416,0.2820427299246131,0.3185923260095252,1.4120973310713998,HELLO
492574,0.1364,0.0,0.0,0.0,0.2745,-1.59141404851338,-0.9544981514622513,0.9752409226907572,0.2068491077492987,0.13523373059768812,1.6976386766332117,HELLO
492594,0.1356,0.0,0.0,0.0,0.3272,-1.464968792087882,-0.5217271418493492,0.9471169244565846,0.21877408747754223,0.14886808769241455,1.6976386766332117,HELLO
492614,0.1349,0.0,0.0,0.0,0.3379,-1.3754034021198207,-0.4167353584521364,0.8762127598943745,0.30920518375005746,0.5019509214213628,1.6976386766332117,HELLO
492634,0.1356,0.0,0.0,0.0,0.2583,-1.0904963019046758,-0.4816083303073244,0.8928494912441667,0.342661376876519,0.9302577942936295,1.6976386766332117,HELLO
