Timestamp,Raw Voltage (V),Filtered Voltage (V),Angle (degrees),Status
2025-10-20 15:14:59.477,3.3,3.3,0.0,Extended
2025-10-20 15:14:59.527,3.3,3.3,0.0,Extended
2025-10-20 15:14:59.577,3.3,3.3,0.0,Extended
2025-10-20 15:14:59.627,3.3,3.3,0.0,Extended
2025-10-20 15:14:59.677,3.3,3.3,0.0,Extended
2025-10-20 15:14:59.727,3.3,3.3,0.0,Extended
2025-10-20 15:14:59.777,0.599,3.057,14.6,Extended
2025-10-20 15:14:59.827,0.381,2.77,31.1,Slight bend
2025-10-20 15:14:59.877,0.362,2.479,42.0,Slight bend
2025-10-20 15:14:59.927,0.081,2.132,55.0,Half bent
2025-10-20 15:14:59.977,0.0,1.769,66.9,Half bent
2025-10-20 15:15:00.027,0.0,1.649,70.5,Half bent
2025-10-20 15:15:00.077,0.0,1.573,72.8,Half bent
2025-10-20 15:15:00.127,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.177,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.227,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.277,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.327,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.377,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.427,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.477,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.527,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.577,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.627,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.677,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.727,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.777,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.827,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.877,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.927,0.0,1.501,75.0,Half bent
2025-10-20 15:15:00.977,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.027,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.077,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.127,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.177,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.227,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.277,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.327,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.377,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.427,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.477,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.527,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.577,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.627,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.677,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.727,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.777,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.827,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.877,0.0,1.501,75.0,Half bent
2025-10-20 15:15:01.927,0.05,1.501,75.0,Half bent
2025-10-20 15:15:01.977,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.027,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.077,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.127,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.177,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.227,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.277,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.327,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.377,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.427,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.477,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.527,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.577,0.0,1.501,75.0,Half bent
2025-10-20 15:15:02.627,0.017,1.501,75.0,Half bent
2025-10-20 15:15:02.677,0.104,1.501,75.0,Half bent
2025-10-20 15:15:02.727,0.374,1.583,72.5,Half bent
2025-10-20 15:15:02.777,0.72,1.727,68.2,Half bent
2025-10-20 15:15:02.827,1.431,2.014,59.5,Half bent
2025-10-20 15:15:02.877,2.019,2.373,46.0,Half bent
2025-10-20 15:15:02.927,3.086,2.716,33.2,Slight bend
2025-10-20 15:15:02.977,3.3,3.004,17.8,Slight bend
2025-10-20 15:15:03.027,3.3,3.223,4.6,Extended
2025-10-20 15:15:03.077,3.3,3.3,0.0,Extended
2025-10-20 15:15:03.127,3.3,3.3,0.0,Extended
2025-10-20 15:15:03.177,3.3,3.3,0.0,Extended
2025-10-20 15:15:03.227,3.3,3.3,0.0,Extended
2025-10-20 15:15:03.277,3.3,3.3,0.0,Extended
2025-10-20 15:15:03.327,3.3,3.3,0.0,Extended
2025-10-20 15:15:03.377,0.425,3.022,16.7,Slight bend
2025-10-20 15:15:03.428,0.308,2.72,33.0,Slight bend
2025-10-20 15:15:03.478,0.31,2.419,44.3,Slight bend
2025-10-20 15:15:03.527,0.186,2.094,56.5,Half bent
2025-10-20 15:15:03.577,0.154,1.761,67.2,Half bent
2025-10-20 15:15:03.627,0.136,1.703,68.9,Half bent
2025-10-20 15:15:03.677,0.143,1.67,69.9,Half bent
2025-10-20 15:15:03.727,0.125,1.633,71.0,Half bent
2025-10-20 15:15:03.777,0.102,1.633,71.0,Half bent
2025-10-20 15:15:03.827,0.095,1.605,71.9,Half bent
2025-10-20 15:15:03.877,0.052,1.605,71.9,Half bent
2025-10-20 15:15:03.927,0.129,1.605,71.9,Half bent
2025-10-20 15:15:03.977,0.16,1.605,71.9,Half bent
2025-10-20 15:15:04.027,0.105,1.605,71.9,Half bent
2025-10-20 15:15:04.077,0.127,1.605,71.9,Half bent
2025-10-20 15:15:04.126,0.09,1.605,71.9,Half bent
2025-10-20 15:15:04.176,0.064,1.605,71.9,Half bent
2025-10-20 15:15:04.226,0.069,1.576,72.7,Half bent
2025-10-20 15:15:04.277,0.06,1.576,72.7,Half bent
2025-10-20 15:15:04.326,0.037,1.549,73.5,Half bent
2025-10-20 15:15:04.376,0.176,1.549,73.5,Half bent
2025-10-20 15:15:04.426,0.372,1.627,71.2,Half bent
2025-10-20 15:15:04.476,3.3,1.977,60.7,Half bent
2025-10-20 15:15:04.526,3.3,2.328,47.7,Half bent
2025-10-20 15:15:04.577,3.3,2.683,34.4,Slight bend
2025-10-20 15:15:04.627,3.3,3.011,17.3,Slight bend
2025-10-20 15:15:04.676,3.3,3.3,0.0,Extended
2025-10-20 15:15:04.727,3.3,3.3,0.0,Extended
